baseName,dataset,kind,meanLatencyMs,name,parameterCount,protocol,seed,seqLen,testAccuracy,testLoss,testMacroF1,testMae,testMaskedMse,testRmse,valAccuracy,valLoss,valMacroF1,valMae,valRmse
patchtst_forecast,astana,patchtst_forecast,0.8628129959106445,ablation_seq24_patchtst_astana,101185,ablation,42,24,,0.31256666267238936,,0.3265199065208435,,0.5590766072273254,,0.34222631076900983,,0.40428823232650757,0.5850011110305786
patchtst_forecast,astana,patchtst_forecast,0.7827901840209961,ablation_seq96_patchtst_astana,101185,ablation,42,96,,0.6505287973624598,,0.5542098879814148,,0.8065536022186279,,0.6248284654589673,,0.5233533978462219,0.7904608845710754
dlinear_forecast,hf_ett,dlinear_forecast,0.18288135528564453,ablation_seq24_dlinear_ett,58,ablation,42,24,,0.058071106032850185,,0.19907626509666443,,0.24097947776317596,,0.054195366728438325,,0.19765625894069672,0.2327989786863327
dlinear_forecast,hf_ett,dlinear_forecast,0.19137859344482422,ablation_seq96_dlinear_ett,202,ablation,42,96,,0.021679500097831015,,0.10597868263721466,,0.1472395956516266,,0.015969681804021443,,0.09807436913251877,0.12637120485305786
