baseName,ci95,dataset,kind,max,mean,metric,min,n,productionSlot,std
q1_astana_itransformer_speed_forecaster,0.0010590355509619768,astana,itransformer_forecast,0.9998304843902588,0.9989329179128011,testRmse,0.9979629516601562,3,traffic_speed_forecast,0.0009358690720856341
q1_astana_patchtst_density_forecaster,0.003910866307118703,astana,patchtst_forecast,0.5648745894432068,0.5609088937441508,testRmse,0.5585399270057678,3,traffic_forecast,0.003456030176295338
q1_astana_saits_imputer,0.009025516744278695,astana,saits_imputer,0.6457588812197446,0.6397271129071284,testMaskedMse,0.6306840063149644,3,imputation,0.00797584365594609
q1_astana_tranad_anomaly_detector,0.0037497151957507097,astana,tranad_anomaly,0.0371943861246109,0.03445137478411198,testRmse,0.030769674107432365,3,traffic_anomaly,0.0033136210372210753
q1_astana_transformer_severity_classifier,0.016636306215457364,astana,transformer_classifier,0.9252412422555764,0.9110233474636845,testMacroF1,0.8958818091265917,3,severity_classification,0.01470149368135003
q1_hf_ett_dlinear_energy_forecaster,0.010818922776065847,hf_ett,dlinear_forecast,0.1634548306465149,0.1527889519929886,testRmse,0.14498907327651978,3,energy_forecast,0.009560675475158249
q1_hf_traffic_stgcn_forecaster,0.001598162901966879,hf_traffic,stgcn_forecast,0.48025938868522644,0.47865044077237445,testRmse,0.4776156544685364,3,graph_traffic_forecast,0.0014122955841726292
q1_hf_weather_timesblock_forecaster,0.001523084519779159,hf_weather,timesblock_forecast,0.035639792680740356,0.0340990275144577,testRmse,0.0331522636115551,3,weather_forecast,0.0013459488635097694
