baseName,dataset,kind,meanLatencyMs,name,parameterCount,protocol,seed,testAccuracy,testLoss,testMacroF1,testMae,testMaskedMse,testRmse,valAccuracy,valLoss,valMacroF1,valMae,valRmse
q1_astana_patchtst_density_forecaster,astana,patchtst_forecast,0.7408046722412109,q1_astana_patchtst_density_forecaster_seed7,101185,multi_seed,7,,0.31196684305237526,,0.33073514699935913,,0.5585399270057678,,0.3411339830044195,,0.3999331593513489,0.5840667486190796
q1_astana_itransformer_speed_forecaster,astana,itransformer_forecast,0.6176471710205078,q1_astana_itransformer_speed_forecaster_seed7,103745,multi_seed,7,,0.9996610017202756,,0.8671334981918335,,0.9998304843902588,,1.0991239939809456,,0.8946822285652161,1.0483912229537964
q1_hf_weather_timesblock_forecaster,hf_weather,timesblock_forecast,0.4289102554321289,q1_hf_weather_timesblock_forecaster_seed7,35569,multi_seed,7,,0.0012701948353376748,,0.027907472103834152,,0.035639792680740356,,0.005489617955548263,,0.05687897652387619,0.07409195601940155
q1_hf_ett_dlinear_energy_forecaster,hf_ett,dlinear_forecast,0.18187522888183594,q1_hf_ett_dlinear_energy_forecaster_seed7,106,multi_seed,7,,0.02671748191312653,,0.12310083955526352,,0.1634548306465149,,0.020680241332141396,,0.1137993261218071,0.14380626380443573
q1_hf_ett_nlinear_energy_forecaster,hf_ett,nlinear_forecast,0.13237476348876953,q1_hf_ett_nlinear_energy_forecaster_seed7,57,multi_seed,7,,0.48574386343805953,,0.6270451545715332,,0.6969532370567322,,1.0194807251599416,,0.9639183282852173,1.0096933841705322
q1_astana_saits_imputer,astana,saits_imputer,0.6581354141235352,q1_astana_saits_imputer_seed7,100997,multi_seed,7,,,,,0.6427384511866762,,,0.6313095070353707,,,
q1_astana_tranad_anomaly_detector,astana,tranad_anomaly,1.3398551940917969,q1_astana_tranad_anomaly_detector_seed7,100997,multi_seed,7,,0.0012524567624056973,,0.026334689930081367,,0.035390064120292664,,0.00032320596859557193,,0.012936288490891457,0.01797792874276638
q1_astana_transformer_severity_classifier,astana,transformer_classifier,0.6773519515991211,q1_astana_transformer_severity_classifier_seed7,100547,multi_seed,7,0.990874707698822,0.0315564145969802,0.9252412422555764,,,,0.9906521439552307,0.029804354699690457,0.9214225911329151,,
q1_hf_traffic_stgcn_forecaster,hf_traffic,stgcn_forecast,0.41262149810791016,q1_hf_traffic_stgcn_forecaster_seed7,80720,multi_seed,7,,0.22855691634473346,,0.2676831781864166,,0.4780762791633606,,0.15221270410025992,,0.2195381075143814,0.3901444673538208
q1_astana_patchtst_density_forecaster,astana,patchtst_forecast,0.8047914505004883,q1_astana_patchtst_density_forecaster_seed42,101185,multi_seed,42,,0.31908332071775536,,0.3404090702533722,,0.5648745894432068,,0.3478042086299891,,0.32457435131073,0.589749276638031
q1_astana_itransformer_speed_forecaster,astana,itransformer_forecast,0.6390285491943359,q1_astana_itransformer_speed_forecaster_seed42,103745,multi_seed,42,,0.9959301075902464,,0.8659321665763855,,0.9979629516601562,,1.142852121038371,,0.9114164710044861,1.069042682647705
q1_hf_weather_timesblock_forecaster,hf_weather,timesblock_forecast,0.45594215393066406,q1_hf_weather_timesblock_forecaster_seed42,35569,multi_seed,42,,0.0011225866976527312,,0.026445945724844933,,0.03350502625107765,,0.021806183289381033,,0.12446591258049011,0.14766916632652283
q1_hf_ett_dlinear_energy_forecaster,hf_ett,dlinear_forecast,0.20740509033203125,q1_hf_ett_dlinear_energy_forecaster_seed42,106,multi_seed,42,,0.022476891200083178,,0.11147579550743103,,0.1499229520559311,,0.017613560791861434,,0.10447359085083008,0.1327160894870758
q1_hf_ett_nlinear_energy_forecaster,hf_ett,nlinear_forecast,0.12293815612792969,q1_hf_ett_nlinear_energy_forecaster_seed42,57,multi_seed,42,,0.5820741613644961,,0.6936920285224915,,0.7629378437995911,,1.109122789967362,,1.0097028017044067,1.0531489849090576
q1_astana_saits_imputer,astana,saits_imputer,0.7284975051879883,q1_astana_saits_imputer_seed42,100997,multi_seed,42,,,,,0.6457588812197446,,,0.6281493938953553,,,
q1_astana_tranad_anomaly_detector,astana,tranad_anomaly,1.4157581329345703,q1_astana_tranad_anomaly_detector_seed42,100997,multi_seed,42,,0.0009467728756660014,,0.02259734831750393,,0.030769674107432365,,0.0002658539069934103,,0.011770629324018955,0.016305027529597282
q1_astana_transformer_severity_classifier,astana,transformer_classifier,0.8347225189208984,q1_astana_transformer_severity_classifier_seed42,100547,multi_seed,42,0.9893167018890381,0.028366311873860066,0.9119469910088857,,,,0.9913198351860046,0.024356009237439843,0.9146636352660824,,
q1_hf_traffic_stgcn_forecaster,hf_traffic,stgcn_forecast,0.245966911315918,q1_hf_traffic_stgcn_forecaster_seed42,80720,multi_seed,42,,0.2281167240994317,,0.27352970838546753,,0.4776156544685364,,0.15396207898128322,,0.2227366417646408,0.3923799991607666
q1_astana_patchtst_density_forecaster,astana,patchtst_forecast,0.7551240921020508,q1_astana_patchtst_density_forecaster_seed2026,101185,multi_seed,2026,,0.31283012817862726,,0.3138119876384735,,0.5593121647834778,,0.33893305456422096,,0.38195350766181946,0.5821795463562012
q1_astana_itransformer_speed_forecaster,astana,itransformer_forecast,0.6528902053833008,q1_astana_itransformer_speed_forecaster_seed2026,103745,multi_seed,2026,,0.9980116582065389,,0.8657200336456299,,0.9990053176879883,,1.1089869452138374,,0.9010981917381287,1.0530844926834106
q1_hf_weather_timesblock_forecaster,hf_weather,timesblock_forecast,0.4603099822998047,q1_hf_weather_timesblock_forecaster_seed2026,35569,multi_seed,2026,,0.001099072612321849,,0.025398246943950653,,0.0331522636115551,,0.005218053977323994,,0.06409087032079697,0.07223609834909439
q1_hf_ett_dlinear_energy_forecaster,hf_ett,dlinear_forecast,0.17540931701660156,q1_hf_ett_dlinear_energy_forecaster_seed2026,106,multi_seed,2026,,0.021021831450456396,,0.10792384296655655,,0.14498907327651978,,0.016543863330490984,,0.10060963034629822,0.12862294912338257
q1_hf_ett_nlinear_energy_forecaster,hf_ett,nlinear_forecast,0.13088703155517578,q1_hf_ett_nlinear_energy_forecaster_seed2026,57,multi_seed,2026,,0.5085276472321494,,0.6366474032402039,,0.7131112217903137,,1.1024555256983362,,0.9981734156608582,1.0499788522720337
q1_astana_saits_imputer,astana,saits_imputer,0.7188272476196289,q1_astana_saits_imputer_seed2026,100997,multi_seed,2026,,,,,0.6306840063149644,,,0.6291221925868984,,,
